Insertion Index,List,Array
649,0.000238,0.000072
650,0.000216,0.000070
651,0.000279,0.000084
652,0.000225,0.000072
653,0.000200,0.000072
654,0.000221,0.000071
655,0.000219,0.000069
656,0.000301,0.000079
657,0.000212,0.000110
658,0.000203,0.000090
659,0.000226,0.000068
660,0.000208,0.000104
661,0.000266,0.000067
662,0.000213,0.000076
663,0.000352,0.000091
664,0.000265,0.000067
665,0.000211,0.000088
666,0.000280,0.000067
667,0.000217,0.000066
668,0.000263,0.000082
669,0.000219,0.000066
670,0.000256,0.000067
671,0.000262,0.000068
672,0.000242,0.000068
673,0.000304,0.000069
674,0.000221,0.000066
675,0.000407,0.000068
676,0.000245,0.000074
677,0.000203,0.000066
678,0.000390,0.000094
679,0.000304,0.000097
680,0.000294,0.000096
681,0.000313,0.000104
682,0.000279,0.000102
683,0.000311,0.000098
684,0.000445,0.000087
685,0.000246,0.000070
686,0.000247,0.000070
687,0.000235,0.000071
688,0.000234,0.000068
689,0.000309,0.000077
690,0.000229,0.000066
691,0.000290,0.000095
692,0.000250,0.000065
693,0.000217,0.000063
694,0.000261,0.000064
695,0.000236,0.000062
696,0.000231,0.000079
697,0.000232,0.000076
698,0.000219,0.000087
699,0.000254,0.000061
700,0.000216,0.000060
701,0.000283,0.000061
702,0.000222,0.000061
703,0.000217,0.000078
704,0.000299,0.000059
705,0.000245,0.000059
706,0.000259,0.000059
707,0.000252,0.000058
708,0.000270,0.000073
709,0.000229,0.000059
710,0.000206,0.000076
711,0.000243,0.000057
712,0.000229,0.000073
713,0.000267,0.000065
714,0.000231,0.000057
715,0.000264,0.000057
716,0.000232,0.000057
717,0.000222,0.000057
718,0.000247,0.000056
719,0.000235,0.000056
720,0.000293,0.000068
721,0.000260,0.000057
722,0.000210,0.000060
723,0.000237,0.000055
724,0.000231,0.000055
725,0.000271,0.000062
726,0.000240,0.000056
727,0.000225,0.000055
728,0.000227,0.000060
729,0.000228,0.000055
730,0.000260,0.000074
731,0.000234,0.000054
732,0.000225,0.000113
733,0.000250,0.000053
734,0.000233,0.000053
735,0.000288,0.000072
736,0.000238,0.000055
737,0.000213,0.000053
738,0.000306,0.000054
739,0.000235,0.000052
740,0.000297,0.000054
741,0.000244,0.000052
742,0.000240,0.000052
743,0.000403,0.000053
744,0.000248,0.000051
745,0.000230,0.000052
746,0.000259,0.000055
